gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
Pram1	3.7963076706962324	6.955063545791258	26.74956776360128	4.789036456789705e-09	7.330555620229795e-07	11.714463605124742
Lilr4b	6.689956735125164	4.0692890616331505	26.631126506304238	4.95851791564486e-09	7.330555620229795e-07	11.552098892326503
Adgre5	3.2268892285761037	6.31343649521612	26.611539107953543	4.9871913761012384e-09	7.330555620229795e-07	11.673404685168423
Optn	4.34458616032752	4.741095747715357	26.39573576578638	5.3157626888840705e-09	7.679770913602866e-07	11.567810790868183
Prkcb	3.7849347025683064	5.286303241540641	26.37173929994546	5.353779487897177e-09	7.679770913602866e-07	11.589678724421823
Pitpnm1	3.162476695902689	5.833496087678412	26.316309550474774	5.442769949379826e-09	7.714478454442406e-07	11.584228779687841
Vsir	3.122830597976205	8.698703317923147	26.20497827766629	5.62658204252903e-09	7.789544860273331e-07	11.551365579842184
Abhd5	3.1848345406281844	6.834011443290978	26.078667102940912	5.843634917615418e-09	7.816896584664496e-07	11.51675073129734
Apobr	4.30914720343425	4.631013654989269	26.037589601826944	5.916240226474808e-09	7.816896584664496e-07	11.458247500612005
Ano10	3.278848772452897	6.125998295256647	26.00497274203647	5.974614389421041e-09	7.816896584664496e-07	11.494001197233294
Ube2l6	3.157346108696335	5.719063300230144	25.942546515873953	6.088154072321919e-09	7.878865476637474e-07	11.472880410954524
Clec4a2	5.086897317537574	6.416930836760535	25.8595980346549	6.242793540532844e-09	7.977625906851729e-07	11.450837379241822
Carhsp1	3.8909024816420525	5.65332267136616	25.809393247468826	6.338533997239147e-09	7.977625906851729e-07	11.432524047988593
Mmp25	9.301927505680213	2.8496905733389997	25.743466662291524	6.4667744590909715e-09	7.977625906851729e-07	11.025722341183364
Ncf1	3.0280521113452314	9.487015979533483	25.236857512041993	7.555626699640086e-09	9.061031584128965e-07	11.257284936166561
Cpne3	3.5409476546565477	8.021557154827663	25.135695656096193	7.796946278628243e-09	9.061031584128965e-07	11.229089837572774
Siglece	4.17578227545618	5.67518460815389	25.093094203754035	7.901156132432878e-09	9.061031584128965e-07	11.215215676379243
AB124611	3.674038963590096	6.029234499892188	25.087525272685625	7.914894042914601e-09	9.061031584128965e-07	11.214211412216898
Sorl1	2.9651285121435453	7.880032209899184	25.021758397911405	8.07918220117649e-09	9.077463944549686e-07	11.193381809569992
Alox5	4.741275906507306	7.1122005019536605	24.99202623450362	8.154710715126387e-09	9.077463944549686e-07	11.183239090562246
Anxa11	3.130598187672587	6.0791529615563515	24.99074776838018	8.157976163840218e-09	9.077463944549686e-07	11.183972603434224
Crispld2	7.3334523340752185	3.9708915437642722	24.95080931877204	8.260731158868852e-09	9.106691220138199e-07	11.076198433774078
Slc16a3	3.7690609431008357	5.456425180540144	24.89559520468009	8.405194197371717e-09	9.180939643477768e-07	11.15247727224832
Plp2	4.443967695227225	6.642824053528857	24.70886675578259	8.915227238483316e-09	9.649517772852942e-07	11.09374012255521
Zmpste24	2.837298459019612	7.888875526419053	24.544914343224463	9.391882391172695e-09	1.0062097378538338e-06	11.042300590713353
Ffar2	3.7277792157896235	5.294446134986645	24.5105505570512	9.495382453200643e-09	1.0062097378538338e-06	11.030484035202765
Ccnd3	2.9280773293938314	9.700470284435061	24.463305897245416	9.63977931427581e-09	1.0067650220681385e-06	11.016199889392343
Ntng2	4.751686010533331	3.0517469305956313	24.334227509743638	1.0047045962892172e-08	1.0345384588137212e-06	10.720187340477914
Rgs14	2.9002020192428795	6.148751717444166	24.2586822293468	1.0294366264422709e-08	1.038684108001837e-06	10.950480984856146
Lyz2	5.887474392439088	11.670726883501274	24.225460881159577	1.0405288511465343e-08	1.0397035565740272e-06	10.9212702790298
